color,descripcion,imagenes,marca,modelo,precio,tallas,url_calzado,url_raiz
PUMA White-Malachite-Puma Team Gold,,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv01/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/bv/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv02/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv03/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv04/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers",Converse,Mayze Heritage Velvet Women's Sneakers,$100.00,,https://us.puma.com/us/en/pd/mayze-heritage-velvet-womens-sneakers/397113?swatch=01&referrer-category=puma-shop-all-shoes,https://us.puma.com/us/en/puma/shop-all-shoes
color,descripcion,imagenes,marca,modelo,precio,tallas,url_calzado,url_raiz
PUMA White-Malachite-Puma Team Gold,,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv01/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/bv/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv02/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv03/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv04/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers",Converse,Mayze Heritage Velvet Women's Sneakers,$100.00,,https://us.puma.com/us/en/pd/mayze-heritage-velvet-womens-sneakers/397113?swatch=01&referrer-category=puma-shop-all-shoes,https://us.puma.com/us/en/puma/shop-all-shoes
color,descripcion,imagenes,marca,modelo,precio,tallas,url_calzado,url_raiz
PUMA White-Malachite-Puma Team Gold,,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv01/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/bv/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv02/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv03/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv04/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers",Converse,Mayze Heritage Velvet Women's Sneakers,$100.00,,https://us.puma.com/us/en/pd/mayze-heritage-velvet-womens-sneakers/397113?swatch=01&referrer-category=puma-shop-all-shoes,https://us.puma.com/us/en/puma/shop-all-shoes
color,descripcion,imagenes,marca,modelo,precio,tallas,url_calzado,url_raiz
PUMA White-Malachite-Puma Team Gold,,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv01/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/bv/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv02/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv03/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv04/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers",Converse,Mayze Heritage Velvet Women's Sneakers,$100.00,,https://us.puma.com/us/en/pd/mayze-heritage-velvet-womens-sneakers/397113?swatch=01&referrer-category=puma-shop-all-shoes,https://us.puma.com/us/en/puma/shop-all-shoes
color,descripcion,imagenes,marca,modelo,precio,tallas,url_calzado,url_raiz
PUMA White-Malachite-Puma Team Gold,,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv01/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/bv/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv02/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv03/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv04/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers",Converse,Mayze Heritage Velvet Women's Sneakers,$100.00,,https://us.puma.com/us/en/pd/mayze-heritage-velvet-womens-sneakers/397113?swatch=01&referrer-category=puma-shop-all-shoes,https://us.puma.com/us/en/puma/shop-all-shoes
color,descripcion,imagenes,marca,modelo,precio,tallas,url_calzado,url_raiz
PUMA White-Malachite-Puma Team Gold,,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv01/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/bv/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv02/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv03/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv04/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers",Converse,Mayze Heritage Velvet Women's Sneakers,$100.00,,https://us.puma.com/us/en/pd/mayze-heritage-velvet-womens-sneakers/397113?swatch=01&referrer-category=puma-shop-all-shoes,https://us.puma.com/us/en/puma/shop-all-shoes
color,descripcion,imagenes,marca,modelo,precio,tallas,url_calzado,url_raiz
PUMA White-Malachite-Puma Team Gold,,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv01/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/bv/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv02/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv03/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv04/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers",Converse,Mayze Heritage Velvet Women's Sneakers,$100.00,,https://us.puma.com/us/en/pd/mayze-heritage-velvet-womens-sneakers/397113?swatch=01&referrer-category=puma-shop-all-shoes,https://us.puma.com/us/en/puma/shop-all-shoes
color,descripcion,imagenes,marca,modelo,precio,tallas,url_calzado,url_raiz
PUMA White-Malachite-Puma Team Gold,,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv01/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/bv/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv02/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv03/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv04/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers",Converse,Mayze Heritage Velvet Women's Sneakers,$100.00,,https://us.puma.com/us/en/pd/mayze-heritage-velvet-womens-sneakers/397113?swatch=01&referrer-category=puma-shop-all-shoes,https://us.puma.com/us/en/puma/shop-all-shoes
color,descripcion,imagenes,marca,modelo,precio,tallas,url_calzado,url_raiz
PUMA White-Malachite-Puma Team Gold,,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv01/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/bv/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv02/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv03/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv04/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers",Converse,Mayze Heritage Velvet Women's Sneakers,$100.00,,https://us.puma.com/us/en/pd/mayze-heritage-velvet-womens-sneakers/397113?swatch=01&referrer-category=puma-shop-all-shoes,https://us.puma.com/us/en/puma/shop-all-shoes
color,descripcion,imagenes,marca,modelo,precio,tallas,url_calzado,url_raiz
PUMA White-Malachite-Puma Team Gold,,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv01/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/bv/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv02/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv03/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv04/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers",Converse,Mayze Heritage Velvet Women's Sneakers,$100.00,,https://us.puma.com/us/en/pd/mayze-heritage-velvet-womens-sneakers/397113?swatch=01&referrer-category=puma-shop-all-shoes,https://us.puma.com/us/en/puma/shop-all-shoes
color,descripcion,imagenes,marca,modelo,precio,tallas,url_calzado,url_raiz
PUMA White-Malachite-Puma Team Gold,,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv01/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/bv/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv02/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv03/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv04/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers",Converse,Mayze Heritage Velvet Women's Sneakers,$100.00,,https://us.puma.com/us/en/pd/mayze-heritage-velvet-womens-sneakers/397113?swatch=01&referrer-category=puma-shop-all-shoes,https://us.puma.com/us/en/puma/shop-all-shoes
color,descripcion,imagenes,marca,modelo,precio,tallas,url_calzado,url_raiz
PUMA White-Malachite-Puma Team Gold,,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv01/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/bv/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv02/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv03/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv04/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers",Converse,Mayze Heritage Velvet Women's Sneakers,$100.00,,https://us.puma.com/us/en/pd/mayze-heritage-velvet-womens-sneakers/397113?swatch=01&referrer-category=puma-shop-all-shoes,https://us.puma.com/us/en/puma/shop-all-shoes
color,descripcion,imagenes,marca,modelo,precio,tallas,url_calzado,url_raiz
PUMA White-Malachite-Puma Team Gold,,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv01/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/bv/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv02/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv03/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv04/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers",Converse,Mayze Heritage Velvet Women's Sneakers,$100.00,,https://us.puma.com/us/en/pd/mayze-heritage-velvet-womens-sneakers/397113?swatch=01&referrer-category=puma-shop-all-shoes,https://us.puma.com/us/en/puma/shop-all-shoes
color,descripcion,imagenes,marca,modelo,precio,tallas,url_calzado,url_raiz
PUMA White-Malachite-Puma Team Gold,,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv01/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/bv/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv02/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv03/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv04/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers",Converse,Mayze Heritage Velvet Women's Sneakers,$100.00,,https://us.puma.com/us/en/pd/mayze-heritage-velvet-womens-sneakers/397113?swatch=01&referrer-category=puma-shop-all-shoes,https://us.puma.com/us/en/puma/shop-all-shoes
color,descripcion,imagenes,marca,modelo,precio,tallas,url_calzado,url_raiz
